module	contig_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings
M00618	megaS121_000000008662	Acetogen	Signature modules	Module set	Metabolic capacity	"M00377 M00579"	0.0	False	0.07142857142857142	False	NA	No enzymes unique to module	NA	K00297	3863	K00297 is present in multiple modules: M00377/M00618
M00736	megaS121_000000002796	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A	Pathway modules	Biosynthesis of other secondary metabolites	Biosynthesis of beta-lactams	"K19102+K19103+K05375 K19104 K19105 K19106"	0.0	False	0.08333333333333333	False	1.0	K05375	1	K05375	764	None
M00008	megaS121_000000006682	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00036 (K01057,K07404) K01690 K01625"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K01625	1160	K01625 is present in multiple modules: M00008/M00308/M00631/M00061
M00308	megaS121_000000006682	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K05308 K00874 K01625 (K00134 K00927,K00131,K18978)"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K01625	1160	K01625 is present in multiple modules: M00008/M00308/M00631/M00061
M00631	megaS121_000000006682	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01812 K00041 (K01685,K16849+K16850) K00874 (K01625,K17463)"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K01625	1160	K01625 is present in multiple modules: M00008/M00308/M00631/M00061
M00061	megaS121_000000006682	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules	Carbohydrate metabolism	Other carbohydrate metabolism	"K01812 K00040 (K01686,K08323) K00874 (K01625,K17463)"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K01625	1160	K01625 is present in multiple modules: M00008/M00308/M00631/M00061
M00986	megaS121_000000006682	Sulfur reduction, sulfur => sulfide	Pathway modules	Energy metabolism	Sulfur metabolism	"K18367,(K17219+K17220+K17221)"	1.0	True	1.0	True	1.0	K18367	1	K18367	1125	None
M00094	megaS121_000000006682	Ceramide biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	"K00654 K04708 (K04709,K04710,K24621,K24622,K23727,K28195,K28194) K04712"	0.25	False	0.25	False	NA	No enzymes unique to module	NA	K04708	1221	K04708 is present in multiple modules: M00094/M00099
M00099	megaS121_000000006682	Sphingosine biosynthesis	Pathway modules	Lipid metabolism	Lipid metabolism	"K00654 K04708 (K04709,K04710,K24621,K24622,K23727,K28195,K28194) K04712 (K01441,K12348,K12349)"	0.2	False	0.2	False	NA	No enzymes unique to module	NA	K04708	1221	K04708 is present in multiple modules: M00094/M00099
M00048	megaS121_000000006682	De novo purine biosynthesis, PRPP + glutamine => IMP	Pathway modules	Nucleotide metabolism	Purine metabolism	"K00764 (K01945,K11787,K11788,K13713) (K00601,K11175,K08289,K11787,K01492) (K01952,(K23269+K23264+K23265),(K23270+K23265)) (K01933,K11787,K11788 (K01587,K11808,K01589 K01588)) (K01923,K01587,K13713) K01756 (K00602,(K01492,K06863 K11176))"	0.125	False	0.125	False	1.0	K00764	1	K00764	1099	None
M00020	megaS121_000000006682	Serine biosynthesis, glycerate-3P => serine	Pathway modules	Amino acid metabolism	Serine and threonine metabolism	"K00058 K00831 (K01079,K02203,K22305,K25528)"	0.6666666666666666	False	0.6666666666666666	False	1.0	K00058	1	K00058,K00831	1076,1077	K00831 is present in multiple modules: M00020/M00124
M00026	megaS121_000000006682	Histidine biosynthesis, PRPP => histidine	Pathway modules	Amino acid metabolism	Histidine metabolism	"(K00765-K02502) (K01523 K01496,K11755,K14152) (K01814,K24017) (K02501+K02500,K01663) ((K01693 K00817 (K04486,K05602,K18649)),(K01089 K00817)) (K00013,K14152)"	0.0	False	0.125	False	1.0	K04486	1	K04486	1081	None
