amr_gene	aro_call	group	participant	is_coassembly	date
spaS135___130202	vanG	spaS193	p728	False	2024-07-02
spaS135___130202	vanG	spaS38	p470	False	2022-12-06
spaS135___130202	vanG	spaS283	p654	False	2025-04-15
spaS135___130202	vanG	spaS240	p722	False	2025-05-06
spaS135___130202	vanG	spaS118	p151	False	2023-12-12
spaS135___130202	vanG	spaS21	p470	False	2022-11-01
spaS135___130202	vanG	spaS211	p431	False	2025-01-14
spaS135___130202	vanG	spaS147	p722	False	2024-03-05
spaS135___130202	vanG	spaS282	p142	False	2025-05-06
spaS135___130202	vanG	spaS276	p584	False	2025-01-21
spaS135___130202	vanG	spaS279	p654	False	2025-02-25
spaS135___130202	vanG	spaS206	p860	False	2024-10-08
spaS135___130202	vanG	spaS298	p341	False	2025-05-27
spaS135___130202	vanG	spaS16	p431	False	2022-10-18
spaS135___130202	vanG	spaS111	p728	False	2023-11-21
spaS135___130202	vanG	spaS117	p728	False	2023-12-05
spaS135___130202	vanG	spaS229	p431	False	2022-08-16
spaS135___130202	vanG	spaS178	p601	False	2024-05-21
spaS135___130202	vanG	spaS139	p894	False	2024-02-06
spaS135___130202	vanG	spaS13	p470	False	2022-10-04
spaS135___130202	vanG	spaS168	p601	False	2024-05-07
spaS135___130202	vanG	spaS257	p142	False	2024-10-21
spaS135___130202	vanG	spaS95	p894	False	2023-10-10
spaS135___130202	vanG	spaS238	p431	False	2022-09-06
spaS135___130202	vanG	spaS278	p654	False	2025-02-18
spaS135___130202	vanG	spaS284	p654	False	2025-05-06
spaS135___130202	vanG	mh_p584	p584	True	
mh_p341___155237	vanY gene in vanG cluster	spaS30	p110	False	2022-11-22
mh_p341___155237	vanY gene in vanG cluster	spaS183	p729	False	2024-05-28
mh_p341___155237	vanY gene in vanG cluster	mh_p341	p341	True	
mh_p341___155237	vanY gene in vanG cluster	spaS298	p341	False	2025-05-27
mh_p341___155237	vanY gene in vanG cluster	mh_p110	p110	True	
mh_p110___247147	vanW gene in vanI cluster	spaS135	p408	False	2024-01-30
mh_p110___247147	vanW gene in vanI cluster	spaS251	p97	False	2022-08-16
mh_p110___247147	vanW gene in vanI cluster	mh_p728	p728	True	
mh_p110___247147	vanW gene in vanI cluster	mh_p470	p470	True	
mh_p110___247147	vanW gene in vanI cluster	spaS119	p408	False	2023-12-12
mh_p110___247147	vanW gene in vanI cluster	mh_p110	p110	True	
mh_p110___247147	vanW gene in vanI cluster	spaS114	p408	False	2023-12-05
mh_p110___247147	vanW gene in vanI cluster	mh_p789	p789	True	
mh_p110___247147	vanW gene in vanI cluster	spaS133	p729	False	2024-01-23
mh_p110___247147	vanW gene in vanI cluster	spaS30	p110	False	2022-11-22
mh_p110___247147	vanW gene in vanI cluster	mh_p408	p408	True	
mh_p110___247147	vanW gene in vanI cluster	spaS25	p97	False	2022-11-15
mh_p110___247147	vanW gene in vanI cluster	spaS297	p789	False	2024-04-16
mh_p110___247147	vanW gene in vanI cluster	spaS198	p728	False	2024-08-20
mh_p110___247147	vanW gene in vanI cluster	mh_p523	p523	True	
mh_p110___247147	vanW gene in vanI cluster	mh_p97	p97	True	
mh_p110___247147	vanW gene in vanI cluster	spaS252	p97	False	2022-09-06
mh_p110___247147	vanW gene in vanI cluster	spaS115	p431	False	2023-12-05
mh_p110___247147	vanW gene in vanI cluster	spaS29	p97	False	2022-11-22
mh_p110___247147	vanW gene in vanI cluster	spaS221	p729	False	2025-05-27
mh_p110___247147	vanW gene in vanI cluster	spaS216	p729	False	2025-05-13
mh_p110___247147	vanW gene in vanI cluster	spaS143	p470	False	2024-02-27
mh_p110___247147	vanW gene in vanI cluster	spaS122	p729	False	2023-12-12
mh_p110___247147	vanW gene in vanI cluster	spaS226	p431	False	2022-08-09
mh_p110___247147	vanW gene in vanI cluster	spaS295	p789	False	2024-03-12
mh_p110___247147	vanW gene in vanI cluster	spaS294	p789	False	2024-02-27
mh_p110___247147	vanW gene in vanI cluster	spaS120	p470	False	2023-12-12
mh_p110___247147	vanW gene in vanI cluster	spaS296	p789	False	2024-03-26
mh_p110___247147	vanW gene in vanI cluster	spaS126	p408	False	2024-01-09
mh_p110___247147	vanW gene in vanI cluster	spaS186	p431	False	2024-06-11
spaS4___73548	tet(32)	spaS98	p151	False	2023-10-17
spaS4___73548	tet(32)	spaS169	p813	False	2024-05-07
spaS4___73548	tet(32)	spaS158	p431	False	2024-03-26
spaS4___73548	tet(32)	spaS177	p373	False	2024-05-21
spaS4___73548	tet(32)	spaS212	p373	False	2025-01-21
spaS4___73548	tet(32)	spaS43	p97	False	2022-12-13
spaS4___73548	tet(32)	spaS253	p97	False	2022-07-21
spaS4___73548	tet(32)	spaS129	p729	False	2024-01-16
spaS4___73548	tet(32)	spaS196	p728	False	2024-07-16
spaS4___73548	tet(32)	spaS235	p813	False	2022-08-23
spaS4___73548	tet(32)	spaS217	p860	False	2025-05-13
spaS4___73548	tet(32)	spaS35	p97	False	2022-11-29
spaS4___73548	tet(32)	spaS228	p292	False	2022-08-16
spaS4___73548	tet(32)	spaS42	p813	False	2022-12-06
spaS4___73548	tet(32)	spaS187	p728	False	2024-06-11
spaS4___73548	tet(32)	spaS50	p523	False	2023-01-10
spaS4___73548	tet(32)	spaS270	p341	False	2025-01-14
spaS4___73548	tet(32)	mh_p408	p408	True	
spaS4___73548	tet(32)	spaS25	p97	False	2022-11-15
spaS4___73548	tet(32)	spaS144	p601	False	2024-02-27
spaS4___73548	tet(32)	spaS132	p722	False	2024-01-23
spaS4___73548	tet(32)	spaS266	p584	False	2024-12-03
spaS4___73548	tet(32)	spaS222	p110	False	2022-07-21
spaS4___73548	tet(32)	spaS152	p644	False	2024-03-12
spaS4___73548	tet(32)	spaS210	p431	False	2024-11-05
spaS4___73548	tet(32)	spaS153	p813	False	2024-03-12
spaS4___73548	tet(32)	spaS6	p601	False	2024-02-06
spaS4___73548	tet(32)	spaS29	p97	False	2022-11-22
spaS4___73548	tet(32)	spaS254	p550	False	2022-08-23
spaS4___73548	tet(32)	spaS27	p813	False	2022-11-15
spaS4___73548	tet(32)	spaS295	p789	False	2024-03-12
spaS4___73548	tet(32)	spaS14	p470	False	2022-10-11
spaS4___73548	tet(32)	spaS286	p789	False	2023-10-24
spaS4___73548	tet(32)	spaS241	p722	False	2024-01-09
spaS4___73548	tet(32)	spaS237	p523	False	2022-08-30
spaS4___73548	tet(32)	spaS280	p654	False	2025-03-04
spaS4___73548	tet(32)	mh_p813	p813	True	
spaS4___73548	tet(32)	mh_p894	p894	True	
spaS4___73548	tet(32)	spaS204	p431	False	2024-09-24
spaS4___73548	tet(32)	spaS182	p644	False	2024-05-28
spaS4___73548	tet(32)	spaS5	p523	False	2023-06-13
spaS4___73548	tet(32)	spaS184	p151	False	2024-06-11
spaS4___73548	tet(32)	spaS223	p110	False	2022-08-04
spaS4___73548	tet(32)	spaS100	p431	False	2023-10-17
spaS4___73548	tet(32)	mh_p292	p292	True	
spaS4___73548	tet(32)	mh_p728	p728	True	
spaS4___73548	tet(32)	spaS32	p523	False	2022-11-22
spaS4___73548	tet(32)	spaS63	p813	False	2023-02-28
