dereplicated_mag_id	strand	group	participant	is_coassembly	date	gtdb_taxonomy	phylum
coassembly_21_0	coassembly	mh_p550	p550	TRUE	NA	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__MOL361;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter bilis	Bacillota_I
coassembly_22_1	coassembly	mh_p470	p470	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii	Bacillota
coassembly_22_1	coassembly	mh_p894	p894	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii	Bacillota
coassembly_22_2	coassembly	mh_p584	p584	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus delbrueckii	Bacillota
coassembly_23_0	coassembly	mh_p523	p523	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactiplantibacillus;s__Lactiplantibacillus plantarum	Bacillota
coassembly_24_1	coassembly	mh_p292	p292	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A avium	Bacillota
coassembly_24_1	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A avium	Bacillota
coassembly_24_1	coassembly	mh_p398	p398	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A avium	Bacillota
coassembly_24_1	coassembly	mh_p601	p601	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A avium	Bacillota
coassembly_24_1	coassembly	mh_p728	p728	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A avium	Bacillota
coassembly_24_1	coassembly	mh_p97	p97	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_A;s__Enterococcus_A avium	Bacillota
coassembly_25_1	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D gallinarum	Bacillota
coassembly_25_1	coassembly	mh_p722	p722	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D gallinarum	Bacillota
coassembly_26_1	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D casseliflavus	Bacillota
coassembly_26_1	coassembly	mh_p722	p722	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus_D;s__Enterococcus_D casseliflavus	Bacillota
coassembly_27_1	coassembly	mh_p292	p292	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D parainfluenzae_AF	Pseudomonadota
coassembly_27_2	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D parainfluenzae_K	Pseudomonadota
coassembly_28_0	coassembly	mh_p728	p728	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D sp014931275	Pseudomonadota
coassembly_29_0	coassembly	mh_p470	p470	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D sp001815355	Pseudomonadota
coassembly_30_0	coassembly	mh_p523	p523	TRUE	NA	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Haemophilus_D;s__Haemophilus_D pittmaniae	Pseudomonadota
coassembly_31_1	coassembly	mh_p125	p125	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus	Bacillota
coassembly_31_1	coassembly	mh_p292	p292	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus	Bacillota
coassembly_31_1	coassembly	mh_p550	p550	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus	Bacillota
coassembly_31_1	coassembly	mh_p601	p601	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus	Bacillota
coassembly_31_1	coassembly	mh_p813	p813	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pasteurianus	Bacillota
coassembly_32_1	coassembly	mh_p341	p341	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	Bacillota
coassembly_32_1	coassembly	mh_p398	p398	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	Bacillota
coassembly_32_1	coassembly	mh_p584	p584	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	Bacillota
coassembly_32_1	coassembly	mh_p813	p813	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	Bacillota
coassembly_32_1	coassembly	mh_p894	p894	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis	Bacillota
coassembly_33_1	coassembly	mh_p125	p125	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
coassembly_33_1	coassembly	mh_p292	p292	TRUE	NA	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus thermophilus	Bacillota
